review_date,category,weekly_sentiment,rolling_avg,delta,alert
2021-04-12,Beauty_Personal_Care,1.0,0.9,0.071,Normal
2021-04-19,Beauty_Personal_Care,0.786,0.893,-0.007,Normal
2021-04-26,Beauty_Personal_Care,0.6,0.693,-0.2,Normal
2021-05-03,Beauty_Personal_Care,0.846,0.723,0.03,Normal
2021-05-10,Beauty_Personal_Care,0.875,0.861,0.138,Normal
2021-05-17,Beauty_Personal_Care,0.6,0.737,-0.123,Normal
2021-05-24,Beauty_Personal_Care,0.818,0.709,-0.028,Normal
2021-05-31,Beauty_Personal_Care,0.6,0.709,0.0,Normal
2021-06-07,Beauty_Personal_Care,0.867,0.733,0.024,Normal
2021-06-14,Beauty_Personal_Care,0.85,0.858,0.125,Normal
2021-06-21,Beauty_Personal_Care,0.438,0.644,-0.215,TREND SHIFT
2021-06-28,Beauty_Personal_Care,0.786,0.612,-0.032,Normal
2021-07-05,Beauty_Personal_Care,0.786,0.786,0.174,Normal
2021-07-12,Beauty_Personal_Care,0.75,0.768,-0.018,Normal
2021-07-19,Beauty_Personal_Care,0.909,0.83,0.062,Normal
2021-07-26,Beauty_Personal_Care,0.846,0.878,0.048,Normal
2021-08-02,Beauty_Personal_Care,0.947,0.897,0.019,Normal
2021-08-09,Beauty_Personal_Care,1.0,0.974,0.077,Normal
2021-08-16,Beauty_Personal_Care,0.7,0.85,-0.124,Normal
2021-08-23,Beauty_Personal_Care,1.0,0.85,0.0,Normal
2021-08-30,Beauty_Personal_Care,1.0,1.0,0.15,Normal
2021-09-06,Beauty_Personal_Care,1.0,1.0,0.0,Normal
2021-09-13,Beauty_Personal_Care,1.0,1.0,0.0,Normal
2021-09-20,Beauty_Personal_Care,0.923,0.962,-0.038,Normal
2021-09-27,Beauty_Personal_Care,0.533,0.728,-0.233,NEGATIVE SPIKE
2021-10-04,Beauty_Personal_Care,0.7,0.617,-0.112,Normal
2021-10-11,Beauty_Personal_Care,1.0,0.85,0.233,TREND SHIFT
2021-10-18,Beauty_Personal_Care,0.818,0.909,0.059,Normal
2021-10-25,Beauty_Personal_Care,0.333,0.576,-0.333,TREND SHIFT
2021-11-01,Beauty_Personal_Care,0.857,0.595,0.019,Normal
2021-11-08,Beauty_Personal_Care,0.85,0.854,0.258,POSITIVE SPIKE
2021-11-15,Beauty_Personal_Care,0.714,0.782,-0.071,Normal
2021-11-22,Beauty_Personal_Care,0.933,0.824,0.042,Normal
2021-11-29,Beauty_Personal_Care,0.55,0.742,-0.082,Normal
2021-12-06,Beauty_Personal_Care,0.727,0.639,-0.103,Normal
2021-12-13,Beauty_Personal_Care,0.688,0.707,0.069,Normal
2021-12-20,Beauty_Personal_Care,1.0,0.844,0.136,Normal
2021-12-27,Beauty_Personal_Care,0.692,0.846,0.002,Normal
2022-01-03,Beauty_Personal_Care,0.737,0.715,-0.132,Normal
2022-01-10,Beauty_Personal_Care,0.8,0.768,0.054,Normal
2022-01-17,Beauty_Personal_Care,0.625,0.712,-0.056,Normal
2022-01-24,Beauty_Personal_Care,0.846,0.736,0.023,Normal
2022-01-31,Beauty_Personal_Care,0.583,0.715,-0.021,Normal
2022-02-07,Beauty_Personal_Care,0.65,0.617,-0.098,Normal
2022-02-14,Beauty_Personal_Care,0.625,0.637,0.021,Normal
2022-02-21,Beauty_Personal_Care,1.0,0.812,0.175,Normal
2022-02-28,Beauty_Personal_Care,0.6,0.8,-0.012,Normal
2022-03-07,Beauty_Personal_Care,0.875,0.737,-0.062,Normal
2022-03-14,Beauty_Personal_Care,1.0,0.937,0.2,Normal
2022-03-21,Beauty_Personal_Care,0.9,0.95,0.013,Normal
2022-03-28,Beauty_Personal_Care,0.667,0.783,-0.167,Normal
2022-04-04,Beauty_Personal_Care,0.125,0.396,-0.388,NEGATIVE SPIKE
2022-04-11,Beauty_Personal_Care,0.769,0.447,0.051,Normal
2022-04-18,Beauty_Personal_Care,0.636,0.703,0.256,POSITIVE SPIKE
2022-04-25,Beauty_Personal_Care,0.75,0.693,-0.01,Normal
2022-05-02,Beauty_Personal_Care,0.8,0.775,0.082,Normal
2022-05-09,Beauty_Personal_Care,0.727,0.764,-0.011,Normal
2022-05-16,Beauty_Personal_Care,0.941,0.834,0.071,Normal
2022-05-23,Beauty_Personal_Care,1.0,0.971,0.136,Normal
2022-05-30,Beauty_Personal_Care,0.846,0.923,-0.048,Normal
2022-06-06,Beauty_Personal_Care,0.929,0.887,-0.036,Normal
2022-06-13,Beauty_Personal_Care,0.538,0.734,-0.154,Normal
2022-06-20,Beauty_Personal_Care,0.769,0.654,-0.08,Normal
2022-06-27,Beauty_Personal_Care,0.786,0.777,0.124,Normal
2022-07-04,Beauty_Personal_Care,0.933,0.86,0.082,Normal
2022-07-11,Beauty_Personal_Care,1.0,0.967,0.107,Normal
2022-07-18,Beauty_Personal_Care,0.769,0.885,-0.082,Normal
2022-07-25,Beauty_Personal_Care,0.667,0.718,-0.167,Normal
2022-08-01,Beauty_Personal_Care,0.467,0.567,-0.151,Normal
2022-08-08,Beauty_Personal_Care,0.929,0.698,0.131,Normal
2022-08-15,Beauty_Personal_Care,0.455,0.692,-0.006,Normal
2022-08-22,Beauty_Personal_Care,0.792,0.623,-0.068,Normal
2022-08-29,Beauty_Personal_Care,0.636,0.714,0.091,Normal
2022-09-05,Beauty_Personal_Care,0.5,0.568,-0.146,Normal
2022-09-12,Beauty_Personal_Care,0.952,0.726,0.158,Normal
2022-09-19,Beauty_Personal_Care,0.933,0.943,0.217,POSITIVE SPIKE
2022-09-26,Beauty_Personal_Care,0.909,0.921,-0.022,Normal
2022-10-03,Beauty_Personal_Care,0.833,0.871,-0.05,Normal
2022-10-10,Beauty_Personal_Care,0.417,0.625,-0.246,NEGATIVE SPIKE
2022-10-17,Beauty_Personal_Care,0.667,0.542,-0.083,Normal
2022-10-24,Beauty_Personal_Care,0.714,0.69,0.149,Normal
2022-10-31,Beauty_Personal_Care,0.824,0.769,0.078,Normal
2022-11-07,Beauty_Personal_Care,0.727,0.775,0.006,Normal
2022-11-14,Beauty_Personal_Care,1.0,0.864,0.088,Normal
2022-11-21,Beauty_Personal_Care,0.857,0.929,0.065,Normal
2022-11-28,Beauty_Personal_Care,0.75,0.804,-0.125,Normal
2022-12-05,Beauty_Personal_Care,0.438,0.594,-0.21,NEGATIVE SPIKE
2022-12-12,Beauty_Personal_Care,0.857,0.647,0.054,Normal
2022-12-19,Beauty_Personal_Care,0.714,0.786,0.138,Normal
2022-12-26,Beauty_Personal_Care,0.5,0.607,-0.179,Normal
2023-01-02,Beauty_Personal_Care,0.824,0.662,0.055,Normal
2023-01-09,Beauty_Personal_Care,0.75,0.787,0.125,Normal
2023-01-16,Beauty_Personal_Care,0.55,0.65,-0.137,Normal
2023-01-23,Beauty_Personal_Care,0.833,0.692,0.042,Normal
2023-01-30,Beauty_Personal_Care,0.667,0.75,0.058,Normal
2023-02-06,Beauty_Personal_Care,0.75,0.708,-0.042,Normal
2023-02-13,Beauty_Personal_Care,0.905,0.827,0.119,Normal
2023-02-20,Beauty_Personal_Care,0.8,0.852,0.025,Normal
2023-02-27,Beauty_Personal_Care,0.636,0.718,-0.134,Normal
2023-03-06,Beauty_Personal_Care,0.75,0.693,-0.025,Normal
2023-03-13,Beauty_Personal_Care,0.778,0.764,0.071,Normal
2023-03-20,Beauty_Personal_Care,0.923,0.85,0.087,Normal
2023-03-27,Beauty_Personal_Care,0.714,0.819,-0.032,Normal
2023-04-03,Beauty_Personal_Care,0.8,0.757,-0.062,Normal
2023-04-10,Beauty_Personal_Care,0.9,0.85,0.093,Normal
2023-04-17,Beauty_Personal_Care,0.722,0.811,-0.039,Normal
2023-04-24,Beauty_Personal_Care,1.0,0.861,0.05,Normal
2023-05-01,Beauty_Personal_Care,0.812,0.906,0.045,Normal
2023-05-08,Beauty_Personal_Care,0.923,0.868,-0.038,Normal
2023-05-15,Beauty_Personal_Care,0.75,0.837,-0.031,Normal
2023-05-22,Beauty_Personal_Care,0.889,0.819,-0.017,Normal
2023-05-29,Beauty_Personal_Care,0.6,0.744,-0.075,Normal
2023-06-05,Beauty_Personal_Care,1.0,0.8,0.056,Normal
2023-06-12,Beauty_Personal_Care,0.8,0.9,0.1,Normal
2023-06-19,Beauty_Personal_Care,0.9,0.85,-0.05,Normal
2023-06-26,Beauty_Personal_Care,1.0,0.95,0.1,Normal
2023-07-03,Beauty_Personal_Care,0.7,0.85,-0.1,Normal
2023-07-10,Beauty_Personal_Care,0.6,0.65,-0.2,NEGATIVE SPIKE
2023-07-17,Beauty_Personal_Care,0.842,0.721,0.071,Normal
2023-07-24,Beauty_Personal_Care,1.0,0.921,0.2,Normal
2023-07-31,Beauty_Personal_Care,0.8,0.9,-0.021,Normal
2023-08-07,Beauty_Personal_Care,0.474,0.637,-0.263,NEGATIVE SPIKE
2023-08-14,Beauty_Personal_Care,0.778,0.626,-0.011,Normal
2023-08-21,Beauty_Personal_Care,0.643,0.71,0.085,Normal
2023-08-28,Beauty_Personal_Care,0.933,0.788,0.078,Normal
2023-09-04,Beauty_Personal_Care,0.923,0.928,0.14,Normal
2023-09-11,Beauty_Personal_Care,0.8,0.862,-0.067,Normal
2023-09-18,Beauty_Personal_Care,0.778,0.789,-0.073,Normal
2023-09-25,Beauty_Personal_Care,0.688,0.733,-0.056,Normal
2023-10-02,Beauty_Personal_Care,0.882,0.785,0.052,Normal
2023-10-09,Beauty_Personal_Care,0.6,0.741,-0.044,Normal
2023-10-16,Beauty_Personal_Care,0.562,0.581,-0.16,Normal
2023-10-23,Beauty_Personal_Care,0.75,0.656,0.075,Normal
2023-10-30,Beauty_Personal_Care,0.75,0.75,0.094,Normal
2023-11-06,Beauty_Personal_Care,0.692,0.721,-0.029,Normal
2023-11-13,Beauty_Personal_Care,0.231,0.462,-0.26,NEGATIVE SPIKE
2023-11-20,Beauty_Personal_Care,0.579,0.405,-0.057,Normal
2023-11-27,Beauty_Personal_Care,0.737,0.658,0.253,TREND SHIFT
2023-12-04,Beauty_Personal_Care,0.611,0.674,0.016,Normal
2023-12-11,Beauty_Personal_Care,0.769,0.69,0.016,Normal
2023-12-18,Beauty_Personal_Care,0.75,0.76,0.069,Normal
2023-12-25,Beauty_Personal_Care,0.455,0.602,-0.157,Normal
2024-01-01,Beauty_Personal_Care,0.706,0.58,-0.022,Normal
2024-01-08,Beauty_Personal_Care,1.0,0.853,0.273,TREND SHIFT
2024-01-15,Beauty_Personal_Care,0.833,0.917,0.064,Normal
2024-01-22,Beauty_Personal_Care,0.8,0.817,-0.1,Normal
2024-01-29,Beauty_Personal_Care,0.818,0.809,-0.008,Normal
2024-02-05,Beauty_Personal_Care,0.818,0.818,0.009,Normal
2024-02-12,Beauty_Personal_Care,0.444,0.631,-0.187,Normal
2024-02-19,Beauty_Personal_Care,0.438,0.441,-0.19,Normal
2024-02-26,Beauty_Personal_Care,0.9,0.669,0.228,TREND SHIFT
2024-03-04,Beauty_Personal_Care,0.857,0.879,0.21,POSITIVE SPIKE
2024-03-11,Beauty_Personal_Care,1.0,0.929,0.05,Normal
2024-03-18,Beauty_Personal_Care,0.909,0.955,0.026,Normal
2024-03-25,Beauty_Personal_Care,0.882,0.896,-0.059,Normal
2024-04-01,Beauty_Personal_Care,0.786,0.834,-0.062,Normal
2024-04-08,Beauty_Personal_Care,0.583,0.685,-0.15,Normal
2024-04-15,Beauty_Personal_Care,0.895,0.739,0.055,Normal
2024-04-22,Beauty_Personal_Care,1.0,0.947,0.208,POSITIVE SPIKE
2024-04-29,Beauty_Personal_Care,0.333,0.667,-0.281,TREND SHIFT
2024-05-06,Beauty_Personal_Care,0.8,0.567,-0.1,Normal
2024-05-13,Beauty_Personal_Care,1.0,0.9,0.333,TREND SHIFT
2024-05-20,Beauty_Personal_Care,0.769,0.885,-0.015,Normal
2024-05-27,Beauty_Personal_Care,0.667,0.718,-0.167,Normal
2024-06-03,Beauty_Personal_Care,0.643,0.655,-0.063,Normal
2024-06-10,Beauty_Personal_Care,0.769,0.706,0.051,Normal
2024-06-17,Beauty_Personal_Care,0.538,0.654,-0.052,Normal
2024-06-24,Beauty_Personal_Care,0.762,0.65,-0.004,Normal
2024-07-01,Beauty_Personal_Care,1.0,0.881,0.231,TREND SHIFT
2024-07-08,Beauty_Personal_Care,0.733,0.867,-0.014,Normal
2024-07-15,Beauty_Personal_Care,0.846,0.79,-0.077,Normal
2024-07-22,Beauty_Personal_Care,0.5,0.673,-0.117,Normal
2024-07-29,Beauty_Personal_Care,0.714,0.607,-0.066,Normal
2024-08-05,Beauty_Personal_Care,0.778,0.746,0.139,Normal
2024-08-12,Beauty_Personal_Care,0.941,0.859,0.113,Normal
2024-08-19,Beauty_Personal_Care,0.9,0.921,0.061,Normal
2024-08-26,Beauty_Personal_Care,0.769,0.835,-0.086,Normal
2024-09-02,Beauty_Personal_Care,0.667,0.718,-0.117,Normal
2024-09-09,Beauty_Personal_Care,0.75,0.708,-0.01,Normal
2024-09-16,Beauty_Personal_Care,0.867,0.808,0.1,Normal
2024-09-23,Beauty_Personal_Care,1.0,0.933,0.125,Normal
2024-09-30,Beauty_Personal_Care,0.625,0.812,-0.121,Normal
2024-10-07,Beauty_Personal_Care,1.0,0.812,0.0,Normal
2024-10-14,Beauty_Personal_Care,0.636,0.818,0.006,Normal
2024-10-21,Beauty_Personal_Care,0.786,0.711,-0.107,Normal
2024-10-28,Beauty_Personal_Care,0.75,0.768,0.057,Normal
2024-11-04,Beauty_Personal_Care,0.875,0.812,0.045,Normal
2024-11-11,Beauty_Personal_Care,0.846,0.861,0.048,Normal
2024-11-18,Beauty_Personal_Care,0.824,0.835,-0.026,Normal
2024-11-25,Beauty_Personal_Care,0.643,0.733,-0.102,Normal
2024-12-02,Beauty_Personal_Care,0.917,0.78,0.047,Normal
2024-12-09,Beauty_Personal_Care,0.4,0.658,-0.121,Normal
2024-12-16,Beauty_Personal_Care,0.857,0.629,-0.03,Normal
2024-12-23,Beauty_Personal_Care,0.882,0.87,0.241,TREND SHIFT
2024-12-30,Beauty_Personal_Care,0.5,0.691,-0.179,Normal
2022-12-26,Cables & Adapters,1.0,1.0,,Normal
2023-01-02,Cables & Adapters,0.0,0.5,-0.5,NEGATIVE SPIKE
2023-01-09,Cables & Adapters,0.0,0.0,-0.5,NEGATIVE SPIKE
2023-01-16,Cables & Adapters,0.0,0.0,0.0,Normal
2023-01-30,Cables & Adapters,0.0,0.0,0.0,Normal
2023-02-06,Cables & Adapters,0.5,0.25,0.25,POSITIVE SPIKE
2023-02-13,Cables & Adapters,0.5,0.5,0.25,POSITIVE SPIKE
2023-02-20,Cables & Adapters,0.333,0.417,-0.083,Normal
2023-02-27,Cables & Adapters,0.75,0.542,0.125,Normal
2023-03-06,Cables & Adapters,-1.0,-0.125,-0.667,TREND SHIFT
2023-03-13,Cables & Adapters,0.333,-0.333,-0.208,NEGATIVE SPIKE
2023-03-20,Cables & Adapters,-0.5,-0.083,0.25,TREND SHIFT
2023-03-27,Cables & Adapters,0.0,-0.25,-0.167,Normal
2023-04-10,Cables & Adapters,0.0,0.0,0.25,TREND SHIFT
2023-04-17,Cables & Adapters,0.0,0.0,0.0,Normal
2023-04-24,Cables & Adapters,0.2,0.1,0.1,Normal
2023-05-08,Cables & Adapters,0.5,0.35,0.25,POSITIVE SPIKE
2023-05-15,Cables & Adapters,1.0,0.75,0.4,POSITIVE SPIKE
2023-05-22,Cables & Adapters,0.5,0.75,0.0,Normal
2023-05-29,Cables & Adapters,-1.0,-0.25,-1.0,NEGATIVE SPIKE
2023-06-05,Cables & Adapters,-0.5,-0.75,-0.5,NEGATIVE SPIKE
2023-06-12,Cables & Adapters,1.0,0.25,1.0,TREND SHIFT
2023-06-19,Cables & Adapters,-0.25,0.375,0.125,Normal
2023-06-26,Cables & Adapters,-0.333,-0.292,-0.667,TREND SHIFT
2023-07-03,Cables & Adapters,-0.25,-0.292,0.0,Normal
2023-07-10,Cables & Adapters,1.0,0.375,0.667,POSITIVE SPIKE
2023-07-17,Cables & Adapters,-1.0,0.0,-0.375,TREND SHIFT
2023-07-24,Cables & Adapters,-1.0,-1.0,-1.0,NEGATIVE SPIKE
2023-07-31,Cables & Adapters,-0.5,-0.75,0.25,TREND SHIFT
2023-08-07,Cables & Adapters,0.667,0.083,0.833,POSITIVE SPIKE
2023-08-14,Cables & Adapters,-0.333,0.167,0.083,Normal
2023-08-21,Cables & Adapters,0.5,0.083,-0.083,Normal
2023-08-28,Cables & Adapters,0.0,0.25,0.167,Normal
2023-09-04,Cables & Adapters,0.0,0.0,-0.25,TREND SHIFT
2023-09-11,Cables & Adapters,-0.5,-0.25,-0.25,NEGATIVE SPIKE
2023-09-18,Cables & Adapters,1.0,0.25,0.5,TREND SHIFT
2023-09-25,Cables & Adapters,0.667,0.833,0.583,POSITIVE SPIKE
2023-10-02,Cables & Adapters,-1.0,-0.167,-1.0,TREND SHIFT
2023-10-09,Cables & Adapters,0.333,-0.333,-0.167,Normal
2023-10-16,Cables & Adapters,0.25,0.292,0.625,TREND SHIFT
2023-10-23,Cables & Adapters,0.0,0.125,-0.167,Normal
2023-10-30,Cables & Adapters,0.5,0.25,0.125,Normal
2023-11-06,Cables & Adapters,0.0,0.25,0.0,Normal
2023-11-13,Cables & Adapters,0.0,0.0,-0.25,NEGATIVE SPIKE
2023-11-20,Cables & Adapters,0.5,0.25,0.25,TREND SHIFT
2023-11-27,Cables & Adapters,0.75,0.625,0.375,POSITIVE SPIKE
2023-12-04,Cables & Adapters,0.25,0.5,-0.125,Normal
2023-12-11,Cables & Adapters,0.4,0.325,-0.175,Normal
2023-12-18,Cables & Adapters,-1.0,-0.3,-0.625,NEGATIVE SPIKE
2023-12-25,Cables & Adapters,-1.0,-1.0,-0.7,NEGATIVE SPIKE
2024-01-01,Cables & Adapters,0.333,-0.333,0.667,TREND SHIFT
2024-01-08,Cables & Adapters,-0.6,-0.133,0.2,POSITIVE SPIKE
2024-01-15,Cables & Adapters,0.0,-0.3,-0.167,Normal
2024-01-22,Cables & Adapters,0.0,0.0,0.3,TREND SHIFT
2024-01-29,Cables & Adapters,-0.333,-0.167,-0.167,Normal
2024-02-05,Cables & Adapters,0.75,0.208,0.375,TREND SHIFT
2024-02-12,Cables & Adapters,-0.25,0.25,0.042,Normal
2024-02-19,Cables & Adapters,0.5,0.125,-0.125,Normal
2024-02-26,Cables & Adapters,0.5,0.5,0.375,TREND SHIFT
2024-03-04,Cables & Adapters,0.0,0.25,-0.25,TREND SHIFT
2024-03-11,Cables & Adapters,0.4,0.2,-0.05,Normal
2024-03-18,Cables & Adapters,0.25,0.325,0.125,Normal
2024-03-25,Cables & Adapters,0.5,0.375,0.05,Normal
2024-04-01,Cables & Adapters,1.0,0.75,0.375,POSITIVE SPIKE
2024-04-08,Cables & Adapters,0.0,0.5,-0.25,TREND SHIFT
2024-04-15,Cables & Adapters,-1.0,-0.5,-1.0,NEGATIVE SPIKE
2024-04-22,Cables & Adapters,0.333,-0.333,0.167,Normal
2024-04-29,Cables & Adapters,0.0,0.167,0.5,POSITIVE SPIKE
2024-05-06,Cables & Adapters,-0.333,-0.167,-0.333,TREND SHIFT
2024-05-13,Cables & Adapters,-1.0,-0.667,-0.5,NEGATIVE SPIKE
2024-05-20,Cables & Adapters,0.0,-0.5,0.167,Normal
2024-05-27,Cables & Adapters,-0.2,-0.1,0.4,POSITIVE SPIKE
2024-06-10,Cables & Adapters,-1.0,-0.6,-0.5,TREND SHIFT
2024-06-17,Cables & Adapters,0.75,-0.125,0.475,TREND SHIFT
